键  英文    中文
advancements.adventure.ol_betsy.title	Ol' Betsy	扣下悬刀
advancements.adventure.overoverkill.description	Deal 50 hearts of damage in a single hit using the Mace	使用重锤一击造成50颗心的伤害
advancements.adventure.overoverkill.title	Over-Overkill	天赐良击
advancements.adventure.play_jukebox_in_meadows.description	Make the Meadows come alive with the sound of music from a Jukebox	用唱片机的音乐声为草甸增添生机
advancements.adventure.play_jukebox_in_meadows.title	Sound of Music	音乐之声
advancements.adventure.read_power_from_chiseled_bookshelf.description	Read the power signal of a Chiseled Bookshelf using a Comparator	使用红石比较器获取雕纹书架的信号强度
advancements.adventure.read_power_from_chiseled_bookshelf.title	The Power of Books	知识就是力量
advancements.adventure.revaulting.description	Unlock an Ominous Vault with an Ominous Trial Key	用不祥试炼钥匙解锁不祥宝库
advancements.adventure.revaulting.title	Revaulting	宝经磨炼
advancements.adventure.root.description	Adventure, exploration and combat	冒险、探索与战斗
advancements.adventure.root.title	Adventure	冒险
advancements.adventure.salvage_sherd.description	Brush a Suspicious block to obtain a Pottery Sherd	刷扫可疑的方块来获得陶片
advancements.adventure.salvage_sherd.title	Respecting the Remnants	探古寻源
advancements.adventure.shoot_arrow.description	Shoot something with an Arrow	用弓箭射点什么
advancements.adventure.shoot_arrow.title	Take Aim	瞄准目标
advancements.adventure.sleep_in_bed.description	Sleep in a Bed to change your respawn point	在床上睡觉以改变你的重生点
advancements.adventure.sleep_in_bed.title	Sweet Dreams	甜蜜的梦
advancements.adventure.sniper_duel.description	Kill a Skeleton from at least 50 meters away	从至少50米外射杀一只骷髅
advancements.adventure.sniper_duel.title	Sniper Duel	狙击手的对决
advancements.adventure.spyglass_at_dragon.description	Look at the Ender Dragon through a Spyglass	透过望远镜观察末影龙
advancements.adventure.spyglass_at_dragon.title	Is It a Plane?	那是飞机吗？
advancements.adventure.spyglass_at_ghast.description	Look at a Ghast through a Spyglass	透过望远镜观察恶魂
advancements.adventure.spyglass_at_ghast.title	Is It a Balloon?	那是气球吗？
advancements.adventure.spyglass_at_parrot.description	Look at a Parrot through a Spyglass	透过望远镜观察鹦鹉
advancements.adventure.spyglass_at_parrot.title	Is It a Bird?	那是鸟吗？
advancements.adventure.summon_iron_golem.description	Summon an Iron Golem to help defend a village	召唤一只铁傀儡来帮忙守卫村庄
advancements.adventure.summon_iron_golem.title	Hired Help	招募援兵
advancements.adventure.throw_trident.description	Throw a Trident at something.\nNote: Throwing away your only weapon is not a good idea.	往什么东西扔出三叉戟。\n注：别把你唯一的武器也抖掉了。
advancements.adventure.throw_trident.title	A Throwaway Joke	抖包袱
advancements.adventure.totem_of_undying.description	Use a Totem of Undying to cheat death	利用不死图腾逃离死神
advancements.adventure.totem_of_undying.title	Postmortal	超越生死
advancements.adventure.trade_at_world_height.description	Trade with a Villager at the build height limit	在建筑高度限制处与村民交易
advancements.adventure.trade_at_world_height.title	Star Trader	星际商人
advancements.adventure.trade.description	Successfully trade with a Villager	成功与一名村民进行交易
advancements.adventure.trade.title	What a Deal!	成交！
advancements.adventure.trim_with_all_exclusive_armor_patterns.description	Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder	将下列锻造模板都至少使用一次：尖塔、猪鼻、肋骨、监守、幽静、恼鬼、潮汐、向导
advancements.adventure.trim_with_all_exclusive_armor_patterns.title	Smithing with Style	匠心独具
advancements.adventure.trim_with_any_armor_pattern.description	Craft a trimmed armor at a Smithing Table	在锻造台中合成带有纹饰的盔甲
advancements.adventure.trim_with_any_armor_pattern.title	Crafting a New Look	旧貌锻新颜
advancements.adventure.two_birds_one_arrow.description	Kill two Phantoms with a piercing Arrow	用一支穿透箭射杀两只幻翼
advancements.adventure.two_birds_one_arrow.title	Two Birds, One Arrow	一箭双雕
advancements.adventure.under_lock_and_key.description	Unlock a Vault with a Trial Key	用试炼钥匙解锁宝库
advancements.adventure.under_lock_and_key.title	Under Lock and Key	珍藏密敛
advancements.adventure.very_very_frightening.description	Strike a Villager with lightning	雷击一名村民
advancements.adventure.very_very_frightening.title	Very Very Frightening	魔女审判
advancements.adventure.voluntary_exile.description	Kill a raid captain.\nMaybe consider staying away from villages for the time being...	杀死一名袭击队长。\n或许该考虑暂时远离村庄……
advancements.adventure.voluntary_exile.title	Voluntary Exile	自我放逐
advancements.adventure.walk_on_powder_snow_with_leather_boots.description	Walk on Powder Snow... without sinking in it	在细雪上行走……并且不陷进去
advancements.adventure.walk_on_powder_snow_with_leather_boots.title	Light as a Rabbit	轻功雪上飘
advancements.adventure.who_needs_rockets.description	Use a Wind Charge to launch yourself upward 8 blocks	使用风弹将自己向上弹射8格
advancements.adventure.who_needs_rockets.title	Who Needs Rockets?	还要啥火箭啊？
advancements.adventure.whos_the_pillager_now.description	Give a Pillager a taste of their own medicine	让掠夺者也尝尝弩的滋味
advancements.adventure.whos_the_pillager_now.title	Who's the Pillager Now?	现在谁才是掠夺者？
advancements.empty	There doesn't seem to be anything here...	这里好像什么都没有……
advancements.end.dragon_breath.description	Collect Dragon's Breath in a Glass Bottle	用玻璃瓶收集一些龙息
advancements.end.dragon_breath.title	You Need a Mint	你需要来点薄荷糖
advancements.end.dragon_egg.description	Hold the Dragon Egg	获得龙蛋
advancements.end.dragon_egg.title	The Next Generation	下一世代
advancements.end.elytra.description	Find Elytra	找到鞘翅
advancements.end.elytra.title	Sky's the Limit	天空即为极限
advancements.end.enter_end_gateway.description	Escape the island	逃离这座岛屿
advancements.end.enter_end_gateway.title	Remote Getaway	远程折跃
advancements.end.find_end_city.description	Go on in, what could happen?	进去吧，又能发生什么呢？
advancements.end.find_end_city.title	The City at the End of the Game	在游戏尽头的城市
advancements.end.kill_dragon.description	Good luck	祝君好运
advancements.end.kill_dragon.title	Free the End	解放末地
advancements.end.levitate.description	Levitate up 50 blocks from the attacks of a Shulker	利用潜影贝的攻击向上漂浮50个方块
advancements.end.levitate.title	Great View From Up Here	这上面的风景不错
advancements.end.respawn_dragon.description	Respawn the Ender Dragon	复活末影龙
advancements.end.respawn_dragon.title	The End... Again...	结束了…再一次…
advancements.end.root.description	Or the beginning?	抑或是起点？
advancements.end.root.title	The End	末地
advancements.husbandry.allay_deliver_cake_to_note_block.description	Have an Allay drop a Cake at a Note Block	让悦灵向音符盒投掷一块蛋糕
advancements.husbandry.allay_deliver_cake_to_note_block.title	Birthday Song	生日快乐歌
advancements.husbandry.allay_deliver_item_to_player.description	Have an Allay deliver items to you	让悦灵向你投掷物品
advancements.husbandry.allay_deliver_item_to_player.title	You've Got a Friend in Me	找到一个好朋友
advancements.husbandry.axolotl_in_a_bucket.description	Catch an Axolotl in a Bucket	用铁桶捕获一只美西螈
advancements.husbandry.axolotl_in_a_bucket.title	The Cutest Predator	最萌捕食者
advancements.husbandry.balanced_diet.description	Eat everything that is edible, even if it's not good for you	尝遍天下食材，即便是对身体不好的
advancements.husbandry.balanced_diet.title	A Balanced Diet	均衡饮食
advancements.husbandry.breed_all_animals.description	Breed all the animals!	繁殖每种动物！
advancements.husbandry.breed_all_animals.title	Two by Two	成双成对
advancements.husbandry.breed_an_animal.description	Breed two animals together	繁殖一对动物
advancements.husbandry.breed_an_animal.title	The Parrots and the Bats	我从哪儿来？
advancements.husbandry.complete_catalogue.description	Tame all Cat variants!	驯服所有种类的猫！
advancements.husbandry.complete_catalogue.title	A Complete Catalogue	百猫全书
advancements.husbandry.feed_snifflet.description	Feed a Snifflet	喂食一只幼年嗅探兽
advancements.husbandry.feed_snifflet.title	Little Sniffs	小小嗅探兽
advancements.husbandry.fishy_business.description	Catch a fish	钓到一条鱼
advancements.husbandry.fishy_business.title	Fishy Business	腥味十足的生意
advancements.husbandry.froglights.description	Have all Froglights in your inventory	在你的物品栏中集齐所有种类的蛙明灯
advancements.husbandry.froglights.title	With Our Powers Combined!	相映生辉！
advancements.husbandry.kill_axolotl_target.description	Team up with an Axolotl and win a fight	与美西螈并肩作战并赢得胜利
advancements.husbandry.kill_axolotl_target.title	The Healing Power of Friendship!	友谊的治愈力！
advancements.husbandry.leash_all_frog_variants.description	Get each Frog variant on a Lead	用拴绳拴住所有种类的青蛙
advancements.husbandry.leash_all_frog_variants.title	When the Squad Hops into Town	呱呱队出动
advancements.husbandry.make_a_sign_glow.description	Make the text of any kind of sign glow	让任意种类告示牌上的文本发光
advancements.husbandry.make_a_sign_glow.title	Glow and Behold!	眼前一亮！
advancements.husbandry.netherite_hoe.description	Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices	用下界合金锭升级一把锄，然后重新考虑你的人生抉择
advancements.husbandry.netherite_hoe.title	Serious Dedication	终极奉献
advancements.husbandry.obtain_sniffer_egg.description	Obtain a Sniffer Egg	获得嗅探兽蛋
advancements.husbandry.obtain_sniffer_egg.title	Smells Interesting	怪味蛋
advancements.husbandry.plant_any_sniffer_seed.description	Plant any Sniffer seed	种植任意嗅探兽种子
advancements.husbandry.plant_any_sniffer_seed.title	Planting the Past	播种往事
advancements.husbandry.plant_seed.description	Plant a seed and watch it grow	种下种子，见证它的成长
advancements.husbandry.plant_seed.title	A Seedy Place	开荒垦地
advancements.husbandry.remove_wolf_armor.description	Remove Wolf Armor from a Wolf using Shears	用剪刀移除狼身上的狼铠
advancements.husbandry.remove_wolf_armor.title	Shear Brilliance	华丽一剪
advancements.husbandry.repair_wolf_armor.description	Repair a damaged Wolf Armor using Armadillo Scutes	用犰狳鳞甲修复损坏的狼铠
advancements.husbandry.repair_wolf_armor.title	Good as New	完好如初
advancements.husbandry.ride_a_boat_with_a_goat.description	Get in a Boat and float with a Goat	与山羊同船共渡
advancements.husbandry.ride_a_boat_with_a_goat.title	Whatever Floats Your Goat!	羊帆起航！
advancements.husbandry.root.description	The world is full of friends and food	世界无处没有朋友与美食
advancements.husbandry.root.title	Husbandry	农牧业
advancements.husbandry.safely_harvest_honey.description	Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees	利用营火在不惊动蜜蜂的情况下从蜂巢收集蜂蜜
advancements.husbandry.safely_harvest_honey.title	Bee Our Guest	与蜂共舞
advancements.husbandry.silk_touch_nest.description	Move a Bee Nest, with 3 Bees inside, using Silk Touch	用精准采集移动住着3只蜜蜂的蜂巢
advancements.husbandry.silk_touch_nest.title	Total Beelocation	举巢搬迁
advancements.husbandry.tactical_fishing.description	Catch a Fish... without a Fishing Rod!	不用钓鱼竿抓住一条鱼！
advancements.husbandry.tactical_fishing.title	Tactical Fishing	战术性钓鱼
advancements.husbandry.tadpole_in_a_bucket.description	Catch a Tadpole in a Bucket	用铁桶捕获一只蝌蚪
advancements.husbandry.tadpole_in_a_bucket.title	Bukkit Bukkit	蚪到桶里来
advancements.husbandry.tame_an_animal.description	Tame an animal	驯服一只动物
advancements.husbandry.tame_an_animal.title	Best Friends Forever	永恒的伙伴
advancements.husbandry.wax_off.description	Scrape Wax off of a Copper block!	给铜块脱蜡！
advancements.husbandry.wax_off.title	Wax Off	脱蜡
advancements.husbandry.wax_on.description	Apply Honeycomb to a Copper block!	将蜜脾涂到铜块上！
advancements.husbandry.wax_on.title	Wax On	涂蜡
advancements.husbandry.whole_pack.description	Tame one of each Wolf variant	驯服所有种类的狼
advancements.husbandry.whole_pack.title	The Whole Pack	群狼聚首
advancements.nether.all_effects.description	Have every effect applied at the same time	同时拥有所有状态效果
advancements.nether.all_effects.title	How Did We Get Here?	为什么会变成这样呢？
advancements.nether.all_potions.description	Have every potion effect applied at the same time	同时拥有所有药水效果
advancements.nether.all_potions.title	A Furious Cocktail	狂乱的鸡尾酒
advancements.nether.brew_potion.description	Brew a Potion	酿造一瓶药水
advancements.nether.brew_potion.title	Local Brewery	本地酿造厂
advancements.nether.charge_respawn_anchor.description	Charge a Respawn Anchor to the maximum	为重生锚充满能量
advancements.nether.charge_respawn_anchor.title	"Not Quite ""Nine"" Lives"	锚没有九条命
advancements.nether.create_beacon.description	Construct and place a Beacon	建造并放置一个信标
advancements.nether.create_beacon.title	Bring Home the Beacon	带信标回家
advancements.nether.create_full_beacon.description	Bring a Beacon to full power	让一座信标发挥最大功效
advancements.nether.create_full_beacon.title	Beaconator	信标工程师
advancements.nether.distract_piglin.description	Distract Piglins with gold	用金质物品让猪灵分神
advancements.nether.distract_piglin.title	Oh Shiny	金光闪闪
advancements.nether.explore_nether.description	Explore all Nether biomes	探索所有下界生物群系
advancements.nether.explore_nether.title	Hot Tourist Destinations	热门景点
advancements.nether.fast_travel.description	Use the Nether to travel 7 km in the Overworld	利用下界移动对应主世界7千米的距离
advancements.nether.fast_travel.title	Subspace Bubble	曲速泡
advancements.nether.find_bastion.description	Enter a Bastion Remnant	进入堡垒遗迹
advancements.nether.find_bastion.title	Those Were the Days	光辉岁月
advancements.nether.find_fortress.description	Break your way into a Nether Fortress	用你的方式进入下界要塞
advancements.nether.find_fortress.title	A Terrible Fortress	阴森的要塞
advancements.nether.get_wither_skull.description	Obtain a Wither Skeleton's skull	获得凋灵骷髅的头颅
advancements.nether.get_wither_skull.title	Spooky Scary Skeleton	惊悚恐怖骷髅头
advancements.nether.loot_bastion.description	Loot a Chest in a Bastion Remnant	掠夺堡垒遗迹里的箱子
advancements.nether.loot_bastion.title	War Pigs	战猪
advancements.nether.netherite_armor.description	Get a full suit of Netherite armor	获得一整套下界合金盔甲
advancements.nether.netherite_armor.title	Cover Me in Debris	残骸裹身
advancements.nether.obtain_ancient_debris.description	Obtain Ancient Debris	获得远古残骸
advancements.nether.obtain_ancient_debris.title	Hidden in the Depths	深藏不露
advancements.nether.obtain_blaze_rod.description	Relieve a Blaze of its rod	让烈焰人从烈焰棒中解放吧
advancements.nether.obtain_blaze_rod.title	Into Fire	与火共舞
advancements.nether.obtain_crying_obsidian.description	Obtain Crying Obsidian	获得哭泣的黑曜石
advancements.nether.obtain_crying_obsidian.title	Who is Cutting Onions?	谁在切洋葱？
advancements.nether.return_to_sender.description	Destroy a Ghast with a fireball	用一团火球干掉一只恶魂
advancements.nether.return_to_sender.title	Return to Sender	见鬼去吧
advancements.nether.ride_strider_in_overworld_lava.description	Take a Strider for a loooong ride on a lava lake in the Overworld	带炽足兽在主世界的熔岩湖上来一场长——途旅行
advancements.nether.ride_strider_in_overworld_lava.title	Feels Like Home	温暖如家
advancements.nether.ride_strider.description	Ride a Strider with a Warped Fungus on a Stick	手持诡异菌钓竿骑乘炽足兽
advancements.nether.ride_strider.title	This Boat Has Legs	画船添足
advancements.nether.root.description	Bring summer clothes	记得带夏装
advancements.nether.root.title	Nether	下界
advancements.nether.summon_wither.description	Summon the Wither	召唤凋灵
advancements.nether.summon_wither.title	Withering Heights	凋零山庄
advancements.nether.uneasy_alliance.description	Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it	从下界救出一只恶魂，将其安全地带到主世界……然后干掉它
advancements.nether.uneasy_alliance.title	Uneasy Alliance	脆弱的同盟
advancements.nether.use_lodestone.description	Use a Compass on a Lodestone	对着磁石使用指南针
advancements.nether.use_lodestone.title	Country Lode, Take Me Home	天涯共此石
advancements.progress	%s/%s	%s/%s
advancements.sad_label	:(	:(
advancements.story.cure_zombie_villager.description	Weaken and then cure a Zombie Villager	弱化并治疗一名僵尸村民
advancements.story.cure_zombie_villager.title	Zombie Doctor	僵尸科医生
advancements.story.deflect_arrow.description	Deflect a projectile with a Shield	用盾牌反弹一个弹射物
advancements.story.deflect_arrow.title	Not Today, Thank You	不吃这套，谢谢
advancements.story.enchant_item.description	Enchant an item at an Enchanting Table	用附魔台附魔一样物品
advancements.story.enchant_item.title	Enchanter	附魔师
advancements.story.enter_the_end.description	Enter the End Portal	进入末地传送门
advancements.story.enter_the_end.title	The End?	结束了？
advancements.story.enter_the_nether.description	Build, light and enter a Nether Portal	建造、激活并进入一座下界传送门
advancements.story.enter_the_nether.title	We Need to Go Deeper	勇往直下
advancements.story.follow_ender_eye.description	Follow an Eye of Ender	跟随末影之眼
advancements.story.follow_ender_eye.title	Eye Spy	隔墙有眼
advancements.story.form_obsidian.description	Obtain a block of Obsidian	获得一块黑曜石
advancements.story.form_obsidian.title	Ice Bucket Challenge	冰桶挑战
advancements.story.iron_tools.description	Upgrade your Pickaxe	升级你的镐
advancements.story.iron_tools.title	Isn't It Iron Pick	这不是铁镐么
advancements.story.lava_bucket.description	Fill a Bucket with lava	用铁桶装点熔岩
advancements.story.lava_bucket.title	Hot Stuff	热腾腾的
advancements.story.mine_diamond.description	Acquire diamonds	获得钻石
advancements.story.mine_diamond.title	Diamonds!	钻石！
advancements.story.mine_stone.description	Mine Stone with your new Pickaxe	用你的新镐挖掘石头
advancements.story.mine_stone.title	Stone Age	石器时代
advancements.story.obtain_armor.description	Protect yourself with a piece of iron armor	用铁盔甲来保护你自己
advancements.story.obtain_armor.title	Suit Up	整装上阵
advancements.story.root.description	The heart and story of the game	游戏的核心与故事
advancements.story.root.title	Minecraft	Minecraft
advancements.story.shiny_gear.description	Diamond armor saves lives	钻石盔甲能救人
advancements.story.shiny_gear.title	Cover Me with Diamonds	钻石护体
advancements.story.smelt_iron.description	Smelt an Iron Ingot	冶炼出一块铁锭
advancements.story.smelt_iron.title	Acquire Hardware	来硬的
advancements.story.upgrade_tools.description	Construct a better Pickaxe	制作一把更好的镐
advancements.story.upgrade_tools.title	Getting an Upgrade	获得升级
advancements.toast.challenge	Challenge Complete!	挑战已完成！
advancements.toast.goal	Goal Reached!	目标已达成！
advancements.toast.task	Advancement Made!	进度已达成！
advMode.allEntities	"Use ""@e"" to target all entities"	用“@e”来代表全部实体
advMode.allPlayers	"Use ""@a"" to target all players"	用“@a”来代表全部玩家
advMode.command	Console Command	控制台命令
advMode.mode	Mode	模式
advMode.mode.auto	Repeat	循环
advMode.mode.autoexec.bat	Always Active	保持开启
advMode.mode.conditional	Conditional	条件制约
advMode.mode.redstone	Impulse	脉冲
advMode.mode.redstoneTriggered	Needs Redstone	红石控制
advMode.mode.sequence	Chain	连锁
advMode.mode.unconditional	Unconditional	不受制约
advMode.nearestPlayer	"Use ""@p"" to target nearest player"	用“@p”来代表最近的玩家
advMode.notAllowed	Must be an opped player in creative mode	必须是处于创造模式的管理员
advMode.notEnabled	Command blocks are not enabled on this server	命令方块没有在此服务器上启用
advMode.previousOutput	Previous Output	上一个输出
advMode.randomPlayer	"Use ""@r"" to target random player"	用“@r”来代表随机玩家
advMode.self	"Use ""@s"" to target the executing entity"	用“@s”来代表执行实体
advMode.setCommand	Set Console Command for Block	设置此方块的控制台命令
advMode.setCommand.success	Command set: %s	成功设置命令：%s
advMode.trackOutput	Track output	记录输出
advMode.triggering	Triggering	触发方式
advMode.type	Type	类型
argument.anchor.invalid	Invalid entity anchor position %s	无效的实体锚点%s
argument.angle.incomplete	Incomplete (expected 1 angle)	不完整（应有1个角度）
argument.angle.invalid	Invalid angle	无效的角度
argument.block.id.invalid	Unknown block type '%s'	未知的方块类型“%s”
argument.block.property.duplicate	Property '%s' can only be set once for block %s	“%s”属性只能给%s设置一次
argument.block.property.invalid	Block %s does not accept '%s' for %s property	%1$s的%3$s属性不能被设为“%2$s”
argument.block.property.novalue	Expected value for property '%s' on block %s	方块%s上的属性“%s”必须要有值
argument.block.property.unclosed	Expected closing ] for block state properties	方块属性应以]结束
argument.block.property.unknown	Block %s does not have property '%s'	方块%s没有属性“%s”
argument.block.tag.disallowed	Tags aren't allowed here, only actual blocks	无法在此使用标签，只允许使用实际的方块
argument.color.invalid	Unknown color '%s'	未知的颜色“%s”
argument.component.invalid	Invalid chat component: %s	无效的聊天组件： %s
argument.criteria.invalid	Unknown criterion '%s'	未知的准则：“%s”
argument.dimension.invalid	Unknown dimension '%s'	未知的维度“%s”
argument.double.big	Double must not be more than %s, found %s	双精度浮点型数据不能大于%s，但发现了%s
argument.double.low	Double must not be less than %s, found %s	双精度浮点型数据不能小于%s，但发现了%s
argument.entity.invalid	Invalid name or UUID	无效的名称或UUID
argument.entity.notfound.entity	No entity was found	未找到实体
argument.entity.notfound.player	No player was found	未找到玩家
argument.entity.options.advancements.description	Players with advancements	玩家拥有的进度
argument.entity.options.distance.description	Distance to entity	与实体间的距离
argument.entity.options.distance.negative	Distance cannot be negative	距离不能为负
argument.entity.options.dx.description	Entities between x and x + dx	位于x与x+dx之间的实体
argument.entity.options.dy.description	Entities between y and y + dy	位于y与y+dy之间的实体
argument.entity.options.dz.description	Entities between z and z + dz	位于z与z+dz之间的实体
argument.entity.options.gamemode.description	Players with game mode	玩家的游戏模式
argument.entity.options.inapplicable	Option '%s' isn't applicable here	“%s”选项不适用于这里
argument.entity.options.level.description	Experience level	经验等级
argument.entity.options.level.negative	Level shouldn't be negative	等级不应该为负数
argument.entity.options.limit.description	Maximum number of entities to return	最大返回实体数
argument.entity.options.limit.toosmall	Limit must be at least 1	限制必须至少为1
argument.entity.options.mode.invalid	Invalid or unknown game mode '%s'	无效或未知的游戏模式“%s”
argument.entity.options.name.description	Entity name	实体名称
argument.entity.options.nbt.description	Entities with NBT	实体所带的NBT
argument.entity.options.predicate.description	Custom predicate	自定义谓词
argument.entity.options.scores.description	Entities with scores	实体的分数
argument.entity.options.sort.description	Sort the entities	对实体排序
argument.entity.options.sort.irreversible	Invalid or unknown sort type '%s'	无效或未知的排序类型“%s”
argument.entity.options.tag.description	Entities with tag	实体所带的标签
argument.entity.options.team.description	Entities on team	实体所在的队伍
argument.entity.options.type.description	Entities of type	实体类型
argument.entity.options.type.invalid	Invalid or unknown entity type '%s'	无效或未知的实体类型“%s”
argument.entity.options.unknown	Unknown option '%s'	未知的选项“%s”
argument.entity.options.unterminated	Expected end of options	选项的方括号不成对
argument.entity.options.valueless	Expected value for option '%s'	选项“%s”应有值
argument.entity.options.x_rotation.description	Entity's x rotation	实体的X轴旋转角度
argument.entity.options.x.description	x position	X轴位置
argument.entity.options.y_rotation.description	Entity's y rotation	实体的Y轴旋转角度
argument.entity.options.y.description	y position	Y轴位置
argument.entity.options.z.description	z position	Z轴位置
argument.entity.selector.allEntities	All entities	所有实体
argument.entity.selector.allPlayers	All players	所有玩家
argument.entity.selector.missing	Missing selector type	缺少选择器类型
argument.entity.selector.nearestPlayer	Nearest player	距离最近的玩家
argument.entity.selector.not_allowed	Selector not allowed	不能使用选择器
argument.entity.selector.randomPlayer	Random player	随机玩家
argument.entity.selector.self	Current entity	当前实体
argument.entity.selector.unknown	Unknown selector type '%s'	未知的选择器类型“%s”
argument.entity.toomany	Only one entity is allowed, but the provided selector allows more than one	只允许一个实体，但提供的选择器允许多个实体
argument.enum.invalid	"Invalid value ""%s"""	无效的值“%s”
argument.float.big	Float must not be more than %s, found %s	浮点型数据不能大于%s，但发现了%s
argument.float.low	Float must not be less than %s, found %s	浮点型数据不能小于%s，但发现了%s
argument.gamemode.invalid	Unknown game mode: %s	未知的游戏模式：%s
argument.id.invalid	Invalid ID	无效的ID
argument.id.unknown	Unknown ID: %s	未知的ID：%s
argument.integer.big	Integer must not be more than %s, found %s	整型数据不能大于%s，但发现了%s
argument.integer.low	Integer must not be less than %s, found %s	整型数据不能小于%s，但发现了%s
argument.item.id.invalid	Unknown item '%s'	未知的物品“%s”
argument.item.tag.disallowed	Tags aren't allowed here, only actual items	无法在此使用标签，只允许使用实际的物品
argument.literal.incorrect	Expected literal %s	应为字面量%s
argument.long.big	Long must not be more than %s, found %s	长整型数据不能大于%s，但发现了%s
argument.long.low	Long must not be less than %s, found %s	长整型数据不能小于%s，但发现了%s
argument.message.too_long	Chat message was too long (%s > maximum %s characters)	聊天消息过长（%s大于上限%s个字符）
argument.nbt.array.invalid	Invalid array type '%s'	无效的数组类型 “%s”
argument.nbt.array.mixed	Can't insert %s into %s	无法将%s插入%s
argument.nbt.expected.key	Expected key	需要键
argument.nbt.expected.value	Expected value	需要值
argument.nbt.list.mixed	Can't insert %s into list of %s	无法将%s插入%s的列表
