en	zh	reason	comment
Dandelion	蒲公英		
Dark Forest	黑森林		
Dark Oak	深色橡木|深色橡树		
Dark Prismarine	暗海晶石		
Data Pack	数据包		
Dead Bush	枯萎的灌木	可能过于严格，允许发挥	
Debug	调试		
Debug Stick	调试棒		
Deep Cold Ocean	冷水深海		
Deep Dark	深暗之域		
Deep Frozen Ocean	冰冻深海		
Deep Lukewarm Ocean	温水深海		
Deep Ocean	深海		
Deepslate	深板岩|深层		
Deltas	三角洲		
Density	致密	可能过于严格，允许发挥	
Depth Strider	深海探索者		
Desert Pyramid	沙漠神殿		
Desert well	沙漠水井		
Detector	探测器|探测		
Diamond	钻石	可能过于严格，允许发挥	
Dimension	维度		
Diorite	闪长岩		
Dirt	泥土	可能过于严格，允许发挥	
Dirt Path	土径		
Disc	唱片		
Disc Fragment	唱片残片		
Disenchant	祛魔		
Dispenser	发射器		
Dolphin	海豚		
Dolphin's Grace	海豚的恩惠		
Dragon's Breath	龙息		
Dried Ghast	失水恶魂		
Dried Kelp	干海带		
Dripleaf	垂滴叶		
Dripstone	滴水石		
Dripstone Caves	溶洞		
Dropper	投掷器		
Drowned	溺尸		
Dry Grass	枯草丛	可能过于严格，允许发挥	
Dungeon	地牢		
Durability	耐久度	可能过于严格，允许发挥	
Duration	时间	可能过于严格，允许发挥	
Dye	染料		
Echo	回响		
Echo Shard	回响碎片		
Elytra	鞘翅		
Emerald	绿宝石		
Enchanted	附魔	可能过于严格，允许发挥	
Enchanter	附魔师		
Enchanting Table	附魔台		
Enchantment	魔咒	可能过于严格，允许发挥	
Enchantment Table	附魔台		
End	末地	可能过于严格，允许发挥	
End Barrens	末地荒地		
End City	末地城		
End Crystal	末地水晶		
End Highlands	末地高地		
End Midlands	末地内陆	可能过于严格，允许发挥	
End Rod	末地烛		
End Stone	末地石		
End Stone Brick	末地石砖		
Ender	末影	可能过于严格，允许发挥	
Ender Chest	末影箱		
Ender Pearl	末影珍珠		
Enderman	末影人		
Endermite	末影螨		
Eroded	风蚀		
Evoker	唤魔者		
Experience orb	经验球	可能过于严格，允许发挥	
Explorer Map	探险家地图		
Exposed	斑驳		
Eye of Ender	末影之眼		
Eyeblossom	眼眸花		
Falling Block	下落的方块		
Fangs	尖牙		
Farmland	耕地		
Feather Falling	摔落缓冲	可能过于严格，允许发挥	
Fence	栅栏		
Fence Gate	栅栏门		
Fermented Spider Eye	发酵蛛眼	可能过于严格，允许发挥	
Field of View	视场角	可能过于严格，允许发挥	
Fire Aspect	火焰附加		
Fire Charge	火焰弹		
Fire Coral	火珊瑚		
Fire Protection	火焰保护		
Fireball	火球		
Firefly	萤火虫		
Firefly Bush	萤火虫灌木丛		
Firework	烟花|烟火		
Firework Rocket	烟花火箭		
fisherman	渔夫		
Fishing Bobber	浮漂	可能过于严格，允许发挥	
Fishing Rod	钓鱼竿		
fletcher	制箭师		
Fletching Table	制箭台		
Flint	燧石		
Flint And Steel	打火石		
Floating Island	浮岛	可能过于严格，允许发挥	
Floating Islands	浮岛	可能过于严格，允许发挥	
Flower Forest	繁花森林		
Flower Pot	花盆		
Flowering	盛开的	可能过于严格，允许发挥	
Flying Speed	飞行速度		
Forest	森林	可能过于严格，允许发挥	
Fortune	时运	可能过于严格，允许发挥	
Fossil	化石		
FOV	视场角	可能过于严格，允许发挥	
Fox	狐狸		
Friendly Fire	友军伤害		
Frog	青蛙		
Froglight	蛙明灯		
Frogspawn	青蛙卵		
Frost walker	冰霜行者		
Frosted Ice	霜冰		
Frozen Ocean	冻洋		
Frozen Peaks	冰封山峰		
Frozen River	冻河		
Furnace	熔炉	可能过于严格，允许发挥	
Ghast Tear	恶魂之泪		
Gilded	镶金	可能过于严格，允许发挥	
Glass	玻璃	可能过于严格，允许发挥	
Glass Bottle	玻璃瓶		
Glass Pane	玻璃板		
Glazed	带釉	可能过于严格，允许发挥	
Glazed Terracotta	带釉陶瓦		
Glistering	闪烁的	可能过于严格，允许发挥	
Glow	荧光|发光	可能过于严格，允许发挥	
Glow Berries	发光浆果		
Glowstone	荧石		
Goat	山羊		
Goat Horn	山羊角		
Gold	金		
Golden	金		
Golden Apple	金苹果		
Golem	傀儡		
Granite	花岗岩		
Grass Path	草径		
Grate	格栅		
Gravel	沙砾		
Gravelly	沙砾		
Gray	灰色|灰		
Green	绿色|绿	可能过于严格，允许发挥	
Grindstone	砂轮	可能过于严格，允许发挥	
Guardian	守卫者	可能过于严格，允许发挥	
Gunpowder	火药		
Hanging	悬挂式	可能过于严格，允许发挥	
Hanging Roots	垂根		
Happy Ghast	快乐恶魂		
Hardcore	极限		
Hardened	硬化		
Harness	挽具	可能过于严格，允许发挥	
Haste	急迫		
Health Boost	生命提升		
Heart of the Sea	海洋之心		
Heavy Core	沉重核心		
Helmet	头盔	可能过于严格，允许发挥	
Hero of the Village	村庄英雄		
Hills	丘陵		
Hitboxes	判定箱		
Hoglin	疣猪兽		
Honey	蜂蜜	可能过于严格，允许发挥	
Honeycomb	蜜脾		
Hopper	漏斗	可能过于严格，允许发挥	
Horn Coral	鹿角珊瑚		
Horse Armor	马铠		
Horse Jump Strength	马匹跳跃能力		
Hotbar	快捷栏		
Husk	尸壳		
Hyphae	菌核		
Ice Spikes	冰刺之地	可能过于严格，允许发挥	
Igloo	雪屋	可能过于严格，允许发挥	
Illager	灾厄村民		
Impaling	穿刺		
Infested	寄生|虫蚀	可能过于严格，允许发挥	
Infinity	无限		
Ink Sac	墨囊		
Instant Damage	瞬间伤害		
Instant Health	瞬间治疗		
Invisibility	隐身		
Invisible	隐形	可能过于严格，允许发挥	
Iron	铁		
Iron Bars	铁栏杆		
Item Frame	物品展示框		
Jack o'Lantern	南瓜灯		
Jagged	尖峭	可能过于严格，允许发挥	
Jigsaw	拼图		
Jigsaw Block	拼图方块		
Jukebox	唱片机		
Jump Boost	跳跃提升		
Jungle	丛林木|丛林		
Jungle Pyramid	丛林神庙		
Jungle Temple	丛林神庙		
Kelp	海带		
Knockback Resistance	击退抗性		
Knowledge Book	知识之书	可能过于严格，允许发挥	
LAN	局域网	可能过于严格，允许发挥	
Lantern	灯笼	可能过于严格，允许发挥	
Lapis	青金石		
Lapis Lazuli	青金石		
Large Fern	大型蕨		
Lava	熔岩		
Leaf	树叶|叶		
Leaping	跳跃		
Leash	缰绳	可能过于严格，允许发挥	
Leash knot	拴绳结		
Leather	皮革	可能过于严格，允许发挥	
leatherworker	皮匠		
Leaves	树叶	可能过于严格，允许发挥	
Lectern	讲台		
Leggings	护腿		
Lever	拉杆		
librarian	图书管理员		
Lichen	地衣		
Light Blue	淡蓝色|淡蓝		
Light Gray	淡灰色|淡灰		
Lightning	闪电	可能过于严格，允许发挥	
Lightning Rod	避雷针		
Lilac	丁香		
Lily of the Valley	铃兰		
Lily Pad	睡莲		
Lime	黄绿色|黄绿	可能过于严格，允许发挥	
Lingering	滞留型|滞留		
Lodestone	磁石		
Lodestone Compass	磁石指针	可能过于严格，允许发挥	
Log	原木	可能过于严格，允许发挥	
Loom	织布机		
Loot	战利品	可能过于严格，允许发挥	
Looting	抢夺		
Loyalty	忠诚		
Luck of the Sea	海之眷顾		
Lukewarm Ocean	温水海洋		
Lure	饵钓	可能过于严格，允许发挥	
Lush Caves	繁茂洞穴		
Mace	重锤	可能过于严格，允许发挥	
Magenta	品红色|品红	可能过于严格，允许发挥	
Magma	岩浆		
Magma Cream	岩浆膏		
Main Hand	主手		
Mangrove	红树木|红树		
Mangrove Swamp	红树林沼泽		
Mannequin	玩家模型		
Marker	标记		
mason	石匠		
Max Health	最大生命值		
Meadow	草甸		
Mending	经验修补		
Mesa	平顶山	可能过于严格，允许发挥	
Minecart	矿车		
Minecart with Chest	运输矿车		
Minecart with Furnace	动力矿车		
Minecart with Spawner	刷怪笼矿车		
Minecart with TNT	TNT矿车		
Mineshaft	废弃矿井	可能过于严格，允许发挥	
Mining Fatigue	挖掘疲劳		
Mob Follow Range	生物跟随距离		
Monster Spawner	刷怪笼		
Mosaic	马赛克		
Moss	苔藓	可能过于严格，允许发挥	
Moss Carpet	覆地苔藓	可能过于严格，允许发挥	
Moss Stone	苔石		
Mossy Cobblestone	苔石		
Mossy Cobblestone Boulder	生苔的巨石		
Mountains	山地		
Moving Block	移动的方块		
Mud	泥巴|泥		
Mud Brick	泥砖		
Multishot	多重射击		
Mushroom	蘑菇	可能过于严格，允许发挥	
Mushroom Fields	蘑菇岛		
Mushroom Stem	蘑菇柄		
Mushroom Stew	蘑菇煲		
Music Disc	音乐唱片		
Mycelium	菌丝		
Name Tag	命名牌		
Nametag	名称标签	可能过于严格，允许发挥	
Nausea	反胃		
Nautilus	鹦鹉螺		
Nether	下界		
Nether Brick	下界砖		
Nether Fortress	下界要塞		
Nether Sprouts	下界苗		
Nether Wart	下界疣		
Nether Wastes	下界荒地		
Netherite	下界合金		
Netherrack	下界岩		
Night Vision	夜视		
nitwit	傻子		
Note Block	音符盒		
Note Blocks	音符盒		
Nylium	菌岩		
Oak	橡木|橡树		
Objective	记分项	可能过于严格，允许发挥	
Observer	侦测器		
Obsidian	黑曜石		
Ocean Monument	海底神殿		
Ocean Ruins	海底废墟		
Ocelot	豹猫		
Ochre	赭黄	可能过于严格，允许发挥	
Off Hand	副手		
Old Growth	原始		
Ominous	不祥		
on a Stick	钓竿	可能过于严格，允许发挥	
Oozing	渗浆	可能过于严格，允许发挥	
Orange	橙色|橙	可能过于严格，允许发挥	
Ore	矿石	可能过于严格，允许发挥	
Ore Vein	矿脉		
Outpost	前哨站		
Overworld	主世界		
Oxeye Daisy	滨菊		
Oxidized	氧化		
Packed Ice	浮冰		
Packed Mud	泥坯		
Pale	苍白	可能过于严格，允许发挥	
Pale Garden	苍白之园	可能过于严格，允许发挥	
Pale Hanging Moss	苍白垂须		
Pale Oak	苍白橡木|苍白橡树|苍白橡		
Panda	熊猫		
Parrot	鹦鹉		
Particle	粒子		
Peaks	山峰		
Pearlescent	珠光		
Peony	牡丹		
Petrified Oak	石化橡木		
Phantom	幻翼	可能过于严格，允许发挥	
Piercing	穿透	可能过于严格，允许发挥	
Piglin	猪灵		
Pillager	掠夺者		
Pine	松树|松木		
Pink	粉红色|粉红	可能过于严格，允许发挥	
Piston	活塞		
Pitcher	瓶子草		
Planks	木板|板	可能过于严格，允许发挥	
Plateau	高原		
Podzol	灰化土		
Point of Interest	兴趣点	可能过于严格，允许发挥	
Polar Bear	北极熊		
Polished	磨制		
Poppy	虞美人		
Porkchop	猪排		
Portal	传送门		
Potato	马铃薯	可能过于严格，允许发挥	
Potent	烈性	可能过于严格，允许发挥	
Potion	药水	可能过于严格，允许发挥	
Potted	盆栽		
Pottery Sherds	陶片		
Powder Snow	细雪		
Predicate	谓词		
Pressure Plate	压力板		
Prismarine	海晶石|海晶		
Projectile	弹射物	可能过于严格，允许发挥	
Propagule	胎生苗		
Protection	保护	可能过于严格，允许发挥	
Punch	冲击	可能过于严格，允许发挥	
Purple	紫色|紫		
Purpur	紫珀		
Quartz	石英		
Quick Charge	快速装填		
Quill	笔		
Rabbit Hide	兔子皮		
Rabbit Stew	兔肉煲		
Rabbit's Foot	兔子脚		
Raid	袭击		
Raider	袭击者		
Rail	铁轨	可能过于严格，允许发挥	
Ravager	劫掠兽		
Raw Copper	粗铜		
Raw Gold	粗金		
Raw Iron	粗铁		
Recipe Book	配方书		
Recovery Compass	追溯指针		
Red	红色|红	可能过于严格，允许发挥	
Red Sand	红沙		
Red Sandstone	红砂岩		
Redstone	红石		
Regeneration	生命恢复|再生		
Reinforced	强化	可能过于严格，允许发挥	
Repeater	中继器		
Resin	树脂		
Resin Clump	树脂团		
Resource Pack	资源包		
Respawn	重生		
Respawn Anchor	重生锚		
Respawn Point	重生点		
Respiration	水下呼吸		
Riptide	激流		
Rose	玫瑰	可能过于严格，允许发挥	
Rotten Flesh	腐肉		
Ruby	红宝石		
Ruined Portal	废弃传送门		
Sand	沙子	可能过于严格，允许发挥	
Sandstone	砂岩		
Sapling	树苗		
Saturation	饱和		
Savanna	热带草原		
Savanna Plateau	热带高原		
Scaffolding	脚手架		
Scoreboard	计分板		
Sculk	幽匿		
Sculk Catalyst	幽匿催发体		
Sculk Sensor	幽匿感测体	可能过于严格，允许发挥	
Sculk Shrieker	幽匿尖啸体		
Sculk Vein	幽匿脉络		
Scute	鳞甲		
Sea Lantern	海晶灯		
Sea Pickle	海泡菜		
Seagrass	海草		
Shader	着色器	可能过于严格，允许发挥	
Sharpness	锋利		
Shelf	展示架	可能过于严格，允许发挥	
shepherd	牧羊人		
Shield	盾牌	可能过于严格，允许发挥	
Shipwreck	沉船		
Short Grass	矮草丛		
Shroomlight	菌光体		
Shulker	潜影贝|潜影		
Shulker Box	潜影盒		
Shulker Bullet	潜影弹		
Sign	告示牌	可能过于严格，允许发挥	
Silk Touch	精准采集		
Silverfish	蠹虫		
Skeleton	骷髅		
Slab	台阶	可能过于严格，允许发挥	
Slime	史莱姆|黏液		
Slime Block	黏液块		
Slimeball	黏液球		
Slot	槽位	可能过于严格，允许发挥	
Slow Falling	缓降		
Slowness	缓慢|迟缓		
Small End Islands	末地小型岛屿		
Smite	亡灵杀手		
Smithing Table	锻造台		
Smithing Template	锻造模板		
Smoker	烟熏炉		
Smooth	平滑		
Sneak	潜行		
Sniffer	嗅探兽		
Sniffer Egg	嗅探兽蛋		
Snowy	积雪的|雪		
Snowy Beach	积雪沙滩	可能过于严格，允许发挥	
Snowy Plains	雪原	可能过于严格，允许发挥	
Snowy Slopes	积雪山坡	可能过于严格，允许发挥	
Snowy Taiga	积雪针叶林	可能过于严格，允许发挥	
Soul	灵魂	可能过于严格，允许发挥	
Soul Fire	灵魂火		
Soul Lantern	灵魂灯笼		
Soul Sand	灵魂沙		
Soul Sand Valley	灵魂沙峡谷		
Soul Soil	灵魂土		
Soul Speed	灵魂疾行		
Sparse	稀疏的	可能过于严格，允许发挥	
Sparse Jungle	稀疏丛林		
Spawn Egg	刷怪蛋		
Spawn Point	出生点		
Spawner	刷怪笼|生成器		
Spectate	旁观	可能过于严格，允许发挥	
Spectator	旁观者	可能过于严格，允许发挥	
Spectator Mode	旁观模式		
Spectral Arrow	光灵箭		
Spider	蜘蛛|蛛		
Splash	喷溅型|喷溅		
Splashing	喷溅		
Sponge	海绵		
Spooky Scary Skeleton	惊悚恐怖骷髅头		
Spore	孢子		
Spore Blossom	孢子花		
Sprint	疾跑		
Spruce	云杉木|云杉		
Spyglass	望远镜		
Squid	鱿鱼		
Stained Glass	染色玻璃		
Stained Glass Pane	染色玻璃板		
Stairs	楼梯		
Stalactite	钟乳石		
Stalagmite	石笋		
Stem	菌柄|柄|茎		
Stick	木棍	可能过于严格，允许发挥	
Sticky	黏性		
Stone	石头|石	可能过于严格，允许发挥	
Stone Brick	石砖		
Stone Bricks	石砖		
Stonecutter	切石机		
Stony Peaks	裸岩山峰		
Stony Shore	石岸		
Stray	流浪者		
Stripped	去皮		
Stronghold	要塞		
Structure Void	结构空位		
Sugar Cane	甘蔗		
Sulfur	硫黄	可能过于严格，允许发挥	
Sulfur Cube	硫方怪		
Sunflower	向日葵		
Superflat	超平坦		
Suspicious Stew	谜之炖菜		
Swamp Hut	沼泽小屋		
Sweeping Edge	横扫之刃		
Sweet Berries	甜浆果		
Sweet Berry Bush	甜浆果丛		
Swift Sneak	迅捷潜行		
Swiftness	迅捷		
Taiga	针叶林		
Tall Grass	高草丛		
Terracotta	陶瓦	可能过于严格，允许发挥	
The End	末地	可能过于严格，允许发挥	
The Killer Bunny	杀手兔		
Thorns	荆棘		
Thunderstorm	雷暴		
Tinted Glass	遮光玻璃	可能过于严格，允许发挥	
Tipped Arrow	药箭		
Toolsmith	工具匠		
Torch	火把		
Torchflower	火把花		
Totem	图腾		
Totem of Undying	不死图腾		
Trader	商人	可能过于严格，允许发挥	
Trader llama	行商羊驼	可能过于严格，允许发挥	
Trapdoor	活板门		
Trapped Chest	陷阱箱		
Trial	试炼		
Trial Chamber	试炼密室		
Trial Key	试炼钥匙	可能过于严格，允许发挥	
Trident	三叉戟		
Tripwire	绊线		
Tripwire Hook	绊线钩		
Tube Coral	管珊瑚		
Tuff	凝灰岩		
Tulip	郁金香		
Tundra	冻原		
Tunic	外套		
Turtle	海龟	可能过于严格，允许发挥	
Turtle Master	神龟		
Twinkle	闪烁		
Twisting	缠怨		
Twisting Vine	缠怨藤		
Unbreaking	耐久		
Uncraftable	不可合成的	可能过于严格，允许发挥	
Vault	宝库	可能过于严格，允许发挥	
Verdant	青翠	可能过于严格，允许发挥	
Villager	村民		
Vindicator	卫道士		
Vine	藤蔓	可能过于严格，允许发挥	
Void	虚空	可能过于严格，允许发挥	
VSync	垂直同步		
Warden	监守者		
Warm Ocean	暖水海洋		
Warped	诡异木|诡异		
Warped Forest	诡异森林		
Warped Stem	诡异菌柄		
Water Breathing	水下呼吸|水肺		
Waxed	涂蜡		
weaponsmith	武器匠		
Weathered	锈蚀	可能过于严格，允许发挥	
Weaving	盘丝	可能过于严格，允许发挥	
Weeping	垂泪	可能过于严格，允许发挥	
Weeping Vine	垂泪藤		
Weeping Vines	垂泪藤		
Weighted Pressure Plate	测重压力板		
White	白色|白		
Wind Burst	风爆		
Wind Charged	蓄风		
Windswept	风袭	可能过于严格，允许发挥	
Witch	女巫	可能过于严格，允许发挥	
Witch Hut	女巫小屋	可能过于严格，允许发挥	
with Chest	运输		
Wither	凋灵|凋零		
Wither Rose	凋灵玫瑰		
Wither Skeleton	凋灵骷髅		
Wither Skull	凋灵之首	可能过于严格，允许发挥	
Wolf Armor	狼铠		
Wood	木头|木		
Wooded	繁茂的		
Wooded Badlands	疏林恶地	可能过于严格，允许发挥	
Woodland Mansion	林地府邸		
Wool	羊毛	可能过于严格，允许发挥	
World Border	世界边界		
Wraith	幽灵		
Yellow	黄色|黄		
Zombie	僵尸		
Zombie Pigman	僵尸猪人	可能过于严格，允许发挥	
Zombie Reinforcements	僵尸增援		
Zombie Villager	僵尸村民		
