Term	Translation	Remark	TermSorce	TransaltionSource
Terrax	地母		Tinkers Alloying Addon	CFPA
Uru	乌鲁		Tinkers Alloying Addon	CFPA
Osram	熔晶		Tinkers Alloying Addon	CFPA
Abyssum	深渊金属		Tinkers Alloying Addon	CFPA
Eezo	零素		Tinkers Alloying Addon	CFPA
Triberium	泰伯利安		Tinkers Alloying Addon	CFPA
Fractum	碎金		Tinkers Alloying Addon	CFPA
Violium	瑟蓝		Tinkers Alloying Addon	CFPA
Proxii	普罗克希		Tinkers Alloying Addon	CFPA
Tritonite	漩金		Tinkers Alloying Addon	CFPA
Ignitz	焰晶		Tinkers Alloying Addon	CFPA
Imperomite	帝金		Tinkers Alloying Addon	CFPA
Solarium	阳光合金		Tinkers Alloying Addon	CFPA
Nihilite	虚金		Tinkers Alloying Addon	CFPA
Adamant	铿金		Tinkers Alloying Addon	CFPA
Dyonite	烈金		Tinkers Alloying Addon	CFPA
Nucleum	辐光合金		Tinkers Alloying Addon	CFPA
Lumix	流光		Tinkers Alloying Addon	CFPA
Seismum	地动合金		Tinkers Alloying Addon	CFPA
Astrium	曜金		Tinkers Alloying Addon	CFPA
Yrdeen	原金		Tinkers Alloying Addon	CFPA
Iox	离金		Tinkers Alloying Addon	CFPA
Meteorite	陨铁		Tinkers Alloying Addon	CFPA
Obsidiorite	黑陨铁		Tinkers Alloying Addon	CFPA
Nitronite	硝化合金		Tinkers Alloying Addon	CFPA
Prosperity	活化水晶		Mystical Agriculture	CFPA
Inferium	精华		Mystical Agriculture	CFPA
Zitrite	梦魇钢		Good Night's Sleep	CFPA
Necrum	腐骸		Good Night's Sleep	CFPA
Candy	糖果		Good Night's Sleep	CFPA
Rainbow	彩虹		Good Night's Sleep	CFPA
Positite	光晶石		Good Night's Sleep	CFPA
Negatite	暗晶石		Good Night's Sleep	CFPA
Etherium	以太		Enigmatic Legacy	CFPA
Unobtainiums	叵得		Mythic Metals	CFPA
Stormyxs	飓霆		Mythic Metals	CFPA
Starrites	星辰		Mythic Metals	CFPA
Kybers	凯伯		Mythic Metals	CFPA
Midas Golds	迈达斯金		Mythic Metals	CFPA
Morkites	墨菱石		Mythic Metals	CFPA
Mythrils	秘银		Mythic Metals	CFPA
Orichalcums	山铜		Mythic Metals	CFPA
Palladiums	钯金		Mythic Metals	CFPA
Platinums	铂金		Mythic Metals	CFPA
Prometheums	钷		Mythic Metals	CFPA
Quadrillums	兆金		Mythic Metals	CFPA
Adamantites	精金		Mythic Metals	CFPA
Aquariums	激水		Mythic Metals	CFPA
Banglums	聚爆石		Mythic Metals	CFPA
Carmots	点金石		Mythic Metals	CFPA
Runites	符石		Mythic Metals	CFPA
Platinums	铂金		Mythic Metals	CFPA
Crystallized Void	晶化虚空		Crossroads	CFPA
Uraninite	晶质铀		Powah	CFPA
Allthemodium	ATM		Allthemodium	CFPA
Vibranium	振金		Allthemodium	CFPA
Unobtainium	难得素		Allthemodium	CFPA
Cloggrum	扼塞		The Undergarden	CFPA
Froststeel	霜钢		The Undergarden	CFPA
Otherside Utherium	异面御腐		The Undergarden	CFPA
Regalium	贵豪		The Undergarden	CFPA
Utherium	御腐		The Undergarden	CFPA
Antitaenite	抗风剂		Project Rankine	CFPA
Bauxite	铝土		Project Rankine	CFPA
Bismuthinite	辉铋		Project Rankine	CFPA
Cassiterite	锡石		Project Rankine	CFPA
Celestine	天青石		Project Rankine	CFPA
Cobaltite	辉钴		Project Rankine	CFPA
Cryolite	冰晶石		Project Rankine	CFPA
Galena	方铅		Project Rankine	CFPA
Greenockite	硫镉		Project Rankine	CFPA
Ilmenite	钛铁		Project Rankine	CFPA
Interspinifex	交代鬣刺		Project Rankine	CFPA
Kamacite	钾长石		Project Rankine	CFPA
Lazurite	琉璃		Project Rankine	CFPA
Lignite	褐煤		Project Rankine	CFPA
Lonsdaleite	蓝丝黛尔石		Project Rankine	CFPA
Magnesite	菱镁		Project Rankine	CFPA
Magnetite	磁铁		Project Rankine	CFPA
Malachite	孔雀石		Project Rankine	CFPA
Molybdenite	辉钼		Project Rankine	CFPA
Monazite	独居石		Project Rankine	CFPA
Pentlandite	镍黄铁		Project Rankine	CFPA
Petalite	透锂长石		Project Rankine	CFPA
Plumbago	石墨		Project Rankine	CFPA
Pyrite	黄铁		Project Rankine	CFPA
Pyrolusite	软锰		Project Rankine	CFPA
Sperrylite	砷铂		Project Rankine	CFPA
Sphalerite	闪锌		Project Rankine	CFPA
Stibnite	辉锑		Project Rankine	CFPA
Taenite	镍纹石		Project Rankine	CFPA
Tetrataenite	四长岩		Project Rankine	CFPA
Uraninite	晶质铀		Project Rankine	CFPA
Wolframite	钨锰铁		Project Rankine	CFPA
Xenotime	磷钇		Project Rankine	CFPA
Endium	末影		KillMods	CFPA
Blackiron	黑铁		KillMods	CFPA
Pandemonium Gold	混沌金		KillMods	CFPA
Evil Crystal	邪恶水晶		KillMods	CFPA
Sapphire	蓝宝石		KillMods	CFPA
Shadow	暗影		KillMods	CFPA
Anti Pandemonuim	反混沌		KillMods	CFPA
Ruby	红宝石		KillMods	CFPA
Cursed Iron	诅咒铁		KillMods	CFPA
Pandemonium Iron	混沌铁		KillMods	CFPA
Amethyst	紫晶		KillMods	CFPA
Pandemonium	混沌		KillMods	CFPA
Dark Topaz	黑暗黄玉		KillMods	CFPA
Dark Crystal	黑暗水晶		KillMods	CFPA
Dark Iron	黑暗铁		KillMods	CFPA
Rainbow	彩虹		KillMods	CFPA
Amazonite	天河		KillMods	CFPA
Meteorite	陨石		KillMods	CFPA
Cursed Gold	诅咒金		KillMods	CFPA
Dark Gold	黑暗金		KillMods	CFPA
Mystic	神秘		KillMods	CFPA
Acanthite	硫银		rankine	CFPA
Dimensional Shard	维度碎片		RFTools Base	Official
Uvarovite	钙铬榴石		Nature's Minerals	CFPA
Kunzite	紫锂辉石		Nature's Minerals	CFPA
Stibnite	辉锑		Nature's Minerals	CFPA
Astrite	星彩石		Nature's Minerals	CFPA
Opal	欧泊		Gems & Jewels	CFPA
Ruby	红宝石		Gems & Jewels	CFPA
Sapphire	蓝宝石		Gems & Jewels	CFPA
Amethyst	紫水晶		Gems & Jewels	CFPA
Dusk Emerald	暮绿宝石		Gems & Jewels	CFPA
Pale Diamond	淡色钻石		Gems & Jewels	CFPA
Garnet	石榴石		Gems & Jewels	CFPA
Topaz	黄玉		Gems & Jewels	CFPA
Peridot	橄榄石		Gems & Jewels	CFPA
Aquamarine	海蓝宝石		Gems & Jewels	CFPA
Zircon	锆石		Gems & Jewels	CFPA
Alexandrite	变石		Gems & Jewels	CFPA
Tanzanite	坦桑石		Gems & Jewels	CFPA
Tourmaline	碧玺		Gems & Jewels	CFPA
Spinel	尖晶石		Gems & Jewels	CFPA
Black Opal	黑欧泊		Gems & Jewels	CFPA
Citrine	黄水晶		Gems & Jewels	CFPA
Morganite	摩根石		Gems & Jewels	CFPA
Ametrine	紫黄晶		Gems & Jewels	CFPA
Iolite	堇青石		Gems & Jewels	CFPA
Kunzite	紫锂辉石		Gems & Jewels	CFPA
Elytrine	翔翱水晶		Darker Depths	CFPA
Chimerite	秘鸣宝石		Mana and Artifice	CFPA
Vinteum	温特姆		Mana and Artifice	Official
Ruby	红宝石		Thermal Series	Official
Sapphire	蓝宝石		Thermal Series	Official
Signalum	信素		Thermal Series	Official
Lumium	流明		Thermal Series	Official
Enderium	末影		Thermal Series	Official
Pendorite	潘多拉金		Oh The Biomes You'll Go	CFPA
Ametrine	紫黄晶		Oh The Biomes You'll Go	CFPA
Emeraldite	绿辉石		Oh The Biomes You'll Go	CFPA
Ametrine	紫黄晶		Oh The Biomes You'll Go	CFPA
Anthracite	无烟煤		Oh The Biomes You'll Go	CFPA
Lignite	褐煤		Oh The Biomes You'll Go	CFPA
Cryptic Redstone	隐秘红石		Oh The Biomes You'll Go	CFPA
Ruby	红宝石		Epic Samurai's	CFPA
Aquamarine	海蓝宝石		Epic Samurai's	CFPA
Jade	翡翠		Epic Samurai's	CFPA
Onyx	缟玛瑙		Epic Samurai's	CFPA
Blood Diamond	血钻石		Arcanum	CFPA
Void Diamond	虚空钻石		Arcanum	CFPA
Green Sapphire	绿刚玉		Arcanum	CFPA
Bone	骨		Arcanum	CFPA
Flesh	肉		Arcanum	CFPA
Galena	方铅		Electrodynamics	CFPA
Monazite	独居石		Electrodynamics	CFPA
Argentite	辉银		Electrodynamics	CFPA
Niter	硝石		Electrodynamics	CFPA
Thorianite	方钍石		Electrodynamics	CFPA
Cassiterite	锡石		Electrodynamics	CFPA
Vanadinite	钒铅		Electrodynamics	CFPA
Lepidolite	锂云母		Electrodynamics	CFPA
Bauxite	铝土		Electrodynamics	CFPA
Chromite	铬铁		Electrodynamics	CFPA
Rutile	金红石		Electrodynamics	CFPA
Halite	石盐		Electrodynamics	CFPA
Fluorite	氟石		Electrodynamics	CFPA
Sylvite	钾石盐		Electrodynamics	CFPA
Lightstone	光明石		Lightstones	CFPA
Blightstone	光冥石		Lightstones	CFPA
Scarlet (Rare)	高纯猩红		Kimetsu no Yaiba	CFPA
Muzan Blood	血		Kimetsu no Yaiba	CFPA
Scarlet	猩红		Kimetsu no Yaiba	CFPA
Gobber	戈伯		Gobber	Official
Nether Gobber	下界戈伯		Gobber	Official
End Gobber	末影戈伯		Gobber	Official
Galena Iron	方铅铁		Alexscaves	Official
Radrock Uranium	辐射铀		Alexscaves	Official
Guanostone Redstone	粪岩红石		Alexscaves	Official
Coprolith Coal	秽岩煤		Alexscaves	Official
Mine Uranium	挖掘铀		Alexscaves	Official
Rose Quartz	玫瑰石英		Create	Official
Andesite Alloy	安山合金		Create	Official
Blaze Brass	烈焰合金	于v0.2移除	Create	Official
Chorus Chrome	紫颂合金	于v0.2移除	Create	Official
Chromatic Compound	七彩化合物	于v0.2移除	Create	Official
Chromatic Compound	异彩化合物	七彩化合物的替代品	Create	Official
Shadow Steel	暗影钢		Create	Official
Refined Radiance	光辉石		Create	Official
Refined Obsidian	强化黑曜石		Mekanism	Official
Glowstone	强化荧石		Mekanism	Official
Energetic Silver	充能银		Ender IO:Endergy	Official
Vivid Alloy	生动合金		Ender IO:Endergy	Official
Crystalline Alloy	晶化合金		Ender IO:Endergy	Official
Crystalline Pink Slime	晶化粉红史莱姆		Ender IO:Endergy	Official
Melodic Alloy	旋律合金		Ender IO:Endergy	Official
Quartz Enriched Iron	富石英铁		Refined Storage	Official
Limonite	褐铁		Advent of Ascension 3	Official
Runium	符文		Advent of Ascension 3	Official
Emberstone	余烬石		Advent of Ascension 3	Official
Skeletal	骷髅		Advent of Ascension 3	Official
Amethyst	紫晶		Advent of Ascension 3	Official
Rosite	玫石		Advent of Ascension 3	Official
Sapphire	蓝宝石		Advent of Ascension 3	Official
Baronyte	爵士		Advent of Ascension 3	Official
Varsium	超金		Advent of Ascension 3	Official
Blazium	烈焰		Advent of Ascension 3	Official
Charged Runium	充能符文		Advent of Ascension 3	Official
Gemenyte	冠盟宝石		Advent of Ascension 3	Official
Jewelyte	明珠宝石		Advent of Ascension 3	Official
Ornamyte	奥姆宝石		Advent of Ascension 3	Official
Lyon	焦铁		Advent of Ascension 3	Official
Mystite	神秘		Advent of Ascension 3	Official
Elecanium	荧银		Advent of Ascension 3	Official
Ghastly	阴森		Advent of Ascension 3	Official
Ghoulish	恐惧		Advent of Ascension 3	Official
Lunar	月		Advent of Ascension 3	Official
Shyrestone	赛尔瑞石		Advent of Ascension 3	Official
Syrmorite	赛摩铜		The Betweenlands	Official
Octine	赤炎铁		The Betweenlands	Official
Scabyst	痂壳晶		The Betweenlands	Official
Valonite	法罗纳晶石		The Betweenlands	Official
Ironwood	铁树	1.16-	The Twilight Forest	Official
Ironwood	铁木	1.16-	The Twilight Forest	Official
Fiery	炽铁		The Twilight Forest	Official
Knightmetal	骑士金属		The Twilight Forest	Official
Steelleaf	钢叶		The Twilight Forest	Official
Carminite	砷铅铁		The Twilight Forest	Official
Ender	末影		BetterEnd	Official
Terminite	终界铁		BetterEnd	Official
Aeternium	太古合金		BetterEnd	Official
Thallasium	赛蓝		BetterEnd	CFPA
Fire Dragonsteel	龙炎钢		Ice and Fire	Official
Ice Dragonsteel	龙霜钢		Ice and Fire	Official
Resonating Gem	共振宝石		Astral Sorcery	CFPA
Aquamarine	海蓝宝石		Astral Sorcery	CFPA
Starmetal	星辉		Astral Sorcery	CFPA
Compressed Iron	压缩铁		PneumaticCraft: Repressurized	Official
Nebu	奈布		Atum 2: Return to the Sands	Official
Sapphire	星界		Journey Into the Light · Essence of the Gods	Official
Shadium	阴崇石		Journey Into the Light · Essence of the Gods	Official
Lunium	錀		Journey Into the Light · Essence of the Gods	Official
Hellstone	地狱石		Journey Into the Light · Essence of the Gods	Official
Ashual	燃烬		Journey Into the Light · Essence of the Gods	Official
Blazium	炽焰		Journey Into the Light · Essence of the Gods	Official
Celestium	天青石		Journey Into the Light · Essence of the Gods	Official
Mekyum	紫云母		Journey Into the Light · Essence of the Gods	Official
Korite	蓝曜		Journey Into the Light · Essence of the Gods	Official
Storon	天金		Journey Into the Light · Essence of the Gods	Official
Flairium	暗金		Journey Into the Light · Essence of the Gods	Official
Des	靛钢		Journey Into the Light · Essence of the Gods	Official
Enderillium	末影伊利石		Journey Into the Light · Essence of the Gods	Official
Gorbite	炫青		Journey Into the Light · Essence of the Gods	Official
Orbadite	磷铁		Journey Into the Light · Essence of the Gods	Official
Lunite	月陨岩		Journey Into the Light · Essence of the Gods	Official
Firestone	耐火石		Journey Into the Light · Essence of the Gods	Official
Bleedstone	血晶石		Journey Into the Light · Essence of the Gods	Official
Smithstone	紫岩晶石		Journey Into the Light · Essence of the Gods	Official
Reinforced Stone	强化石		Journey Into the Light · Essence of the Gods	Official
Reinforced Crystal	强化水晶		Journey Into the Light · Essence of the Gods	Official
Hellcrust	焦岩		Journey Into the Light · Essence of the Gods	Official
Cincinnasite	辛辛那金		BetterNether	CFPA
Draconium	龙		Draconic Evolution	CFPA
Soul Steel	灵魂钢		Spirit	CFPA
Sun Crystal	太阳晶体		Extra Utilities 2	Official
Demon	恶魔		Extra Utilities 2	Official
Enchanted	附魔		Extra Utilities 2	Official
Unstable	不稳定金属		Extra Utilities 2	Official
Evil Infused Iron	恶魔灌注铁		Extra Utilities 2	Official
Living Essence	生命精华		The Afterlight	CFPA
Moonsteel	月钢		The Afterlight	CFPA
Lunarite	月之合金		The Afterlight	CFPA
Crystillium	默泪		The Afterlight	CFPA
Blazing Quartz	烈焰石英		Malum	Official
Soulstone	灵魂石		Malum	Official
Brilliant	经验晶		Malum	Official
Infinity	无尽		Avaritia	Official
Crystal Matrix	水晶矩阵		Avaritia	Official
Neutronium	中子		Avaritia	Official
Sky	苍穹		Nature's Aura	Official
Infused Iron	灌注铁		Nature's Aura	Official
Psimetal	Psi金属		Psi	Official
Mana Gem	魔源宝石		Ars Nouveau	Official
Neptunium	海王		Aquaculture 2	Official
Arcane Gold	秘金		Eidolon	CFPA
Geode	晶洞玉石		Tetra	Official
Hydrogen	氢		Null	Null
Helium	氦		Null	Null
Lithium	锂		Null	Null
Beryllium	铍		Null	Null
Boron	硼		Null	Null
Carbon	碳		Null	Null
Nitrogen	氮		Null	Null
Oxygen	氧		Null	Null
Fluorine	氟		Null	Null
Neon	氖		Null	Null
Sodium	钠		Null	Null
Magnesium	镁		Null	Null
Aluminum	铝		Null	Null
Silicon	硅		Null	Null
Phosphorus	磷		Null	Null
Sulfur	硫		Null	Null
Chlorine	氯		Null	Null
Argon	氩		Null	Null
Potassium	钾		Null	Null
Calcium	钙		Null	Null
Scandium	钪		Null	Null
Titanium	钛		Null	Null
Vanadium	钒		Null	Null
Chromium	铬		Null	Null
Manganese	锰		Null	Null
Iron	铁		Null	Null
Cobalt	钴		Null	Null
Nickel	镍		Null	Null
Copper	铜		Null	Null
Zinc	锌		Null	Null
Gallium	镓		Null	Null
Germanium	锗		Null	Null
Arsenic	砷		Null	Null
Selenium	硒		Null	Null
Bromine	溴		Null	Null
Krypton	氪		Null	Null
Rubidium	铷		Null	Null
Strontium	锶		Null	Null
Yttrium	钇		Null	Null
Zirconium	锆		Null	Null
Niobium	铌		Null	Null
Molybdenum	钼		Null	Null
Technetium	锝		Null	Null
Ruthenium	钌		Null	Null
Rhodium	铑		Null	Null
Palladium	钯		Null	Null
Silver	银		Null	Null
Cadmium	镉		Null	Null
Indium	铟		Null	Null
Tin	锡		Null	Null
Antimony	锑		Null	Null
Tellurium	碲		Null	Null
Iodine	碘		Null	Null
Xenon	氙		Null	Null
Cesium	铯		Null	Null
Barium	钡		Null	Null
Lanthanum	镧		Null	Null
Cerium	铈		Null	Null
Praseodymium	镨		Null	Null
Neodymium	钕		Null	Null
Promethium	钷		Null	Null
Samarium	钐		Null	Null
Europium	铕		Null	Null
Gadolinium	钆		Null	Null
Terbium	铽		Null	Null
Dysprosium	镝		Null	Null
Holmium	钬		Null	Null
Erbium	铒		Null	Null
Thulium	铥		Null	Null
Ytterbium	镱		Null	Null
Lutetium	镥		Null	Null
Hafnium	铪		Null	Null
Tantalum	钽		Null	Null
Tungsten	钨		Null	Null
Rhenium	铼		Null	Null
Osmium	锇		Null	Null
Iridium	铱		Null	Null
Platinum	铂		Null	Null
Gold	金		Null	Null
Mercury	汞		Null	Null
Thallium	铊		Null	Null
Lead	铅		Null	Null
Bismuth	铋		Null	Null
Polonium	钋		Null	Null
Astatine	砹		Null	Null
Radon	氡		Null	Null
Francium	钫		Null	Null
Radium	镭		Null	Null
Actinium	锕		Null	Null
Thorium	钍		Null	Null
Protactinium	镤		Null	Null
Uranium	铀		Null	Null
Neptunium	镎		Null	Null
Plutonium	钚		Null	Null
Americium	镅		Null	Null
Curium	锔		Null	Null
Berkelium	锫		Null	Null
Californium	锎		Null	Null
Einsteinium	锿		Null	Null
Fermium	镄		Null	Null
Mendelevium	钔		Null	Null
Nobelium	锘		Null	Null
Lawrencium	铹		Null	Null
Rutherfordium	𬬻		Null	Null
Dubnium	𬭊		Null	Null
Seaborgium	𬭳		Null	Null
Bohrium	𬭛		Null	Null
Hassium	𬭶		Null	Null
Meitnerium	鿏		Null	Null
Darmstadtium	𬭶		Null	Null
Roentgenium	𬬭		Null	Null
Copernicium	鿔		Null	Null
Nihonium	鿭		Null	Null
Flerovium	𫓧		Null	Null
Moscovium	镆		Null	Null
Livermorium	𫟷		Null	Null
Tennessine	鿬		Null	Null
Oganesson	鿫		Null	Null
Bronze	青铜		Null	Null
Brass	黄铜		Null	Null
Invar	殷钢		Null	Null
Steel	钢		Null	Null
Constantan	康铜		Null	Null
Electrum	琥珀金		Null	Null
Stainless Steel	不锈钢		Null	Null
Rose Gold	玫瑰金		Null	Null
Pig Iron	生铁		Null	Null
Alumite	耐酸铝		Null	Null
