类型,key,English,English,English,简体中文,例子,简体中文,例子,简体中文,例子,来源,备注,释义
进度,advancements.adventure.throw_trident.title,A Throwaway Joke,,,抖包袱,,,,,,语言文件,,
进度,advancements.adventure.totem_of_undying.title,Postmortal,,,超越生死,,,,,,语言文件,,
进度,advancements.adventure.trade.title,What a Deal!,,,成交！,,,,,,语言文件,,
进度,advancements.adventure.trade_at_world_height.title,Star Trader,,,星际商人,,,,,,语言文件,,
进度,advancements.adventure.two_birds_one_arrow.title,"Two Birds, One Arrow",,,一箭双雕,,,,,,语言文件,,
进度,advancements.adventure.very_very_frightening.title,Very Very Frightening,,,魔女审判,,,,,,语言文件,,
进度,advancements.adventure.voluntary_exile.title,Voluntary Exile,,,自我放逐,,,,,,语言文件,,
进度,advancements.adventure.walk_on_powder_snow_with_leather_boots.title,Light as a Rabbit,,,轻功雪上飘,,,,,,语言文件,,
进度,advancements.adventure.whos_the_pillager_now.title,Who's the Pillager Now?,,,现在谁才是掠夺者？,,,,,,语言文件,,
进度,advancements.end.dragon_breath.title,You Need a Mint,,,你需要来点薄荷糖,,,,,,语言文件,,
进度,advancements.end.dragon_egg.title,The Next Generation,,,下一世代,,,,,,语言文件,,
进度,advancements.end.elytra.title,Sky's the Limit,,,天空即为极限,,,,,,语言文件,,
进度,advancements.end.enter_end_gateway.title,Remote Getaway,,,远程折跃,,,,,,语言文件,,
进度,advancements.end.find_end_city.title,The City at the End of the Game,,,在游戏尽头的城市,,,,,,语言文件,,
进度,advancements.end.kill_dragon.title,Free the End,,,解放末地,,,,,,语言文件,,
进度,advancements.end.levitate.title,Great View From Up Here,,,这上面的风景不错,,,,,,语言文件,,
进度,advancements.end.respawn_dragon.title,The End... Again...,,,结束了…再一次…,,,,,,语言文件,,
进度,advancements.husbandry.axolotl_in_a_bucket.title,The Cutest Predator,,,最萌捕食者,,,,,,语言文件,,
进度,advancements.husbandry.balanced_diet.title,A Balanced Diet,,,均衡饮食,,,,,,语言文件,,
进度,advancements.husbandry.breed_all_animals.title,Two by Two,,,成双成对,,,,,,语言文件,,
进度,advancements.husbandry.breed_an_animal.title,The Parrots and the Bats,,,我从哪儿来？,,,,,,语言文件,,
进度,advancements.husbandry.complete_catalogue.title,A Complete Catalogue,,,百猫全书,,,,,,语言文件,,
进度,advancements.husbandry.fishy_business.title,Fishy Business,,,腥味十足的生意,,,,,,语言文件,,
进度,advancements.husbandry.kill_axolotl_target.title,The Healing Power of Friendship!,,,友谊的治愈力！,,,,,,语言文件,,
进度,advancements.husbandry.make_a_sign_glow.title,Glow and Behold!,,,眼前一亮！,,,,,,语言文件,,
进度,advancements.husbandry.netherite_hoe.title,Serious Dedication,,,终极奉献,,,,,,语言文件,,
进度,advancements.husbandry.plant_seed.title,A Seedy Place,,,开荒垦地,,,,,,语言文件,,
进度,advancements.husbandry.ride_a_boat_with_a_goat.title,Whatever Floats Your Goat!,,,羊帆起航！,,,,,,语言文件,,
进度,advancements.husbandry.safely_harvest_honey.title,Bee Our Guest,,,与蜂共舞,,,,,,语言文件,,
进度,advancements.husbandry.silk_touch_nest.title,Total Beelocation,,,举巢搬迁,,,,,,语言文件,,
进度,advancements.husbandry.tactical_fishing.title,Tactical Fishing,,,战术性钓鱼,,,,,,语言文件,,
进度,advancements.husbandry.tame_an_animal.title,Best Friends Forever,,,永恒的伙伴,,,,,,语言文件,,
进度,advancements.husbandry.wax_off.title,Wax Off,,,脱蜡,,,,,,语言文件,,
进度,advancements.husbandry.wax_on.title,Wax On,,,涂蜡,,,,,,语言文件,,
进度,advancements.nether.all_effects.title,How Did We Get Here?,,,为什么会变成这样呢？,,,,,,语言文件,,
进度,advancements.nether.all_potions.title,A Furious Cocktail,,,狂乱的鸡尾酒,,,,,,语言文件,,
进度,advancements.nether.brew_potion.title,Local Brewery,,,本地酿造厂,,,,,,语言文件,,
进度,advancements.nether.charge_respawn_anchor.title,Not Quite "Nine" Lives,,,锚没有九条命,,,,,,语言文件,,
进度,advancements.nether.create_beacon.title,Bring Home the Beacon,,,带信标回家,,,,,,语言文件,,
进度,advancements.nether.create_full_beacon.title,Beaconator,,,信标工程师,,,,,,语言文件,,
进度,advancements.nether.distract_piglin.title,Oh Shiny,,,金光闪闪,,,,,,语言文件,,
进度,advancements.nether.explore_nether.title,Hot Tourist Destinations,,,热门景点,,,,,,语言文件,,
进度,advancements.nether.fast_travel.title,Subspace Bubble,,,曲速泡,,,,,,语言文件,,
进度,advancements.nether.find_bastion.title,Those Were the Days,,,光辉岁月,,,,,,语言文件,,
进度,advancements.nether.find_fortress.title,A Terrible Fortress,,,阴森的要塞,,,,,,语言文件,,
进度,advancements.nether.get_wither_skull.title,Spooky Scary Skeleton,,,惊悚恐怖骷髅头,,,,,,语言文件,,
进度,advancements.nether.loot_bastion.title,War Pigs,,,战猪,,,,,,语言文件,,
进度,advancements.nether.netherite_armor.title,Cover Me in Debris,,,残骸裹身,,,,,,语言文件,,
进度,advancements.nether.obtain_ancient_debris.title,Hidden in the Depths,,,深藏不露,,,,,,语言文件,,
进度,advancements.nether.obtain_blaze_rod.title,Into Fire,,,与火共舞,,,,,,语言文件,,
进度,advancements.nether.obtain_crying_obsidian.title,Who is Cutting Onions?,,,谁在切洋葱？,,,,,,语言文件,,
进度,advancements.nether.return_to_sender.title,Return to Sender,,,见鬼去吧,,,,,,语言文件,,
进度,advancements.nether.ride_strider.title,This Boat Has Legs,,,画船添足,,,,,,语言文件,,
进度,advancements.nether.ride_strider_in_overworld_lava.title,Feels like home,,,温暖如家,,,,,,语言文件,,
进度,advancements.nether.summon_wither.title,Withering Heights,,,凋零山庄,,,,,,语言文件,,
进度,advancements.nether.uneasy_alliance.title,Uneasy Alliance,,,脆弱的同盟,,,,,,语言文件,,
进度,advancements.nether.use_lodestone.title,"Country Lode, Take Me Home",,,天涯共此石,,,,,,语言文件,,
进度,advancements.story.cure_zombie_villager.title,Zombie Doctor,,,僵尸科医生,,,,,,语言文件,,
进度,advancements.story.deflect_arrow.title,"Not Today, Thank You",,,不吃这套，谢谢,,,,,,语言文件,,
进度,advancements.story.enchant_item.title,Enchanter,,,附魔师,,,,,,语言文件,,
进度,advancements.story.enter_the_end.title,The End?,,,结束了？,,,,,,语言文件,,
进度,advancements.story.enter_the_nether.title,We Need to Go Deeper,,,勇往直下,,,,,,语言文件,,
进度,advancements.story.follow_ender_eye.title,Eye Spy,,,隔墙有眼,,,,,,语言文件,,
进度,advancements.story.form_obsidian.title,Ice Bucket Challenge,,,冰桶挑战,,,,,,语言文件,,
进度,advancements.story.iron_tools.title,Isn't It Iron Pick,,,这不是铁镐么,,,,,,语言文件,,
进度,advancements.story.lava_bucket.title,Hot Stuff,,,热腾腾的,,,,,,语言文件,,
进度,advancements.story.mine_diamond.title,Diamonds!,,,钻石！,,,,,,语言文件,,
进度,advancements.story.mine_stone.title,Stone Age,,,石器时代,,,,,,语言文件,,
进度,advancements.story.obtain_armor.title,Suit Up,,,整装上阵,,,,,,语言文件,,
进度,advancements.story.shiny_gear.title,Cover Me with Diamonds,,,钻石护体,,,,,,语言文件,,
进度,advancements.story.smelt_iron.title,Acquire Hardware,,,来硬的,,,,,,语言文件,,
进度,advancements.story.upgrade_tools.title,Getting an Upgrade,,,获得升级,,,,,,语言文件,,
键位,key.advancements,Advancements,,,进度,,,,,,语言文件,,
键位,,Attack,,,攻击,,,,,,语言文件（整理）,,
键位,,Destroy,,,摧毁,,,,,,语言文件（整理）,,
键位,key.back,Walk Backwards,,,向后移动,,,,,,语言文件,,
键位类别,key.categories.creative,Creative Mode,,,创造模式,,,,,,语言文件,,
键位类别,key.categories.gameplay,Gameplay,,,游戏内容,,,,,,语言文件,,
键位类别,key.categories.inventory,Inventory,,,物品栏,,,,,,语言文件,,
键位类别,key.categories.misc,Miscellaneous,,,杂项,,,,,,语言文件,,
键位类别,key.categories.movement,Movement,,,移动,,,,,,语言文件,,
键位类别,key.categories.multiplayer,Multiplayer,,,多人游戏,,,,,,语言文件,,
键位类别,key.categories.ui,Game Interface,,,游戏界面,,,,,,语言文件,,
键位功能,key.chat,Open Chat,,,打开聊天栏,,,,,,语言文件,,
键位功能,key.command,Open Command,,,输入命令,,,,,,语言文件,,
键位功能,key.drop,Drop Selected Item,,,丢弃所选物品,,,,,,语言文件,,
键位功能,key.forward,Walk Forwards,,,向前移动,,,,,,语言文件,,
键位功能,key.fullscreen,Toggle Fullscreen,,,全屏显示切换,,,,,,语言文件,,
键位功能,key.hotbar.1,Hotbar Slot 1,,,快捷栏1,,,,,,语言文件,,
键位功能,key.hotbar.2,Hotbar Slot 2,,,快捷栏2,,,,,,语言文件,,
键位功能,key.hotbar.3,Hotbar Slot 3,,,快捷栏3,,,,,,语言文件,,
键位功能,key.hotbar.4,Hotbar Slot 4,,,快捷栏4,,,,,,语言文件,,
键位功能,key.hotbar.5,Hotbar Slot 5,,,快捷栏5,,,,,,语言文件,,
键位功能,key.hotbar.6,Hotbar Slot 6,,,快捷栏6,,,,,,语言文件,,
键位功能,key.hotbar.7,Hotbar Slot 7,,,快捷栏7,,,,,,语言文件,,
键位功能,key.hotbar.8,Hotbar Slot 8,,,快捷栏8,,,,,,语言文件,,
键位功能,key.hotbar.9,Hotbar Slot 9,,,快捷栏9,,,,,,语言文件,,
键位功能,key.inventory,Open/Close Inventory,,,开启/关闭物品栏,,,,,,语言文件,,
键位功能,key.jump,Jump,,,跳跃,,,,,,语言文件,,
键盘按键名,key.keyboard.apostrophe,',,,',,,,,,语言文件,,
键盘按键名,key.keyboard.backslash,\,,,\,,,,,,语言文件,,
键盘按键名,key.keyboard.backspace,Backspace,,,退格,,,,,,语言文件,,
键盘按键名,key.keyboard.caps.lock,Caps Lock,,,Caps Lock,,,,,,语言文件,,
键盘按键名,key.keyboard.comma,",",,,",",,,,,,语言文件,,
键盘按键名,key.keyboard.delete,Delete,,,Delete,,,,,,语言文件,,
键盘按键名,key.keyboard.down,Down Arrow,,,下方向键,,,,,,语言文件,,
键盘按键名,key.keyboard.end,End,,,End,,,,,,语言文件,,
键盘按键名,key.keyboard.enter,Enter,,,Enter,,,,,,语言文件,,
键盘按键名,key.keyboard.escape,Escape,,,Esc,,,,,,语言文件,,
键盘按键名,key.keyboard.f1,F1,,,F1,,,,,,语言文件,,
键盘按键名,key.keyboard.f10,F10,,,F10,,,,,,语言文件,,
键盘按键名,key.keyboard.f11,F11,,,F11,,,,,,语言文件,,
键盘按键名,key.keyboard.f12,F12,,,F12,,,,,,语言文件,,
键盘按键名,key.keyboard.f13,F13,,,F13,,,,,,语言文件,,
键盘按键名,key.keyboard.f14,F14,,,F14,,,,,,语言文件,,
键盘按键名,key.keyboard.f15,F15,,,F15,,,,,,语言文件,,
键盘按键名,key.keyboard.f16,F16,,,F16,,,,,,语言文件,,
键盘按键名,key.keyboard.f17,F17,,,F17,,,,,,语言文件,,
键盘按键名,key.keyboard.f18,F18,,,F18,,,,,,语言文件,,
键盘按键名,key.keyboard.f19,F19,,,F19,,,,,,语言文件,,
键盘按键名,key.keyboard.f2,F2,,,F2,,,,,,语言文件,,
键盘按键名,key.keyboard.f20,F20,,,F20,,,,,,语言文件,,
键盘按键名,key.keyboard.f21,F21,,,F21,,,,,,语言文件,,
键盘按键名,key.keyboard.f22,F22,,,F22,,,,,,语言文件,,
键盘按键名,key.keyboard.f23,F23,,,F23,,,,,,语言文件,,
键盘按键名,key.keyboard.f24,F24,,,F24,,,,,,语言文件,,
键盘按键名,key.keyboard.f25,F25,,,F25,,,,,,语言文件,,
键盘按键名,key.keyboard.f3,F3,,,F3,,,,,,语言文件,,
键盘按键名,key.keyboard.f4,F4,,,F4,,,,,,语言文件,,
键盘按键名,key.keyboard.f5,F5,,,F5,,,,,,语言文件,,
键盘按键名,key.keyboard.f6,F6,,,F6,,,,,,语言文件,,
键盘按键名,key.keyboard.f7,F7,,,F7,,,,,,语言文件,,
键盘按键名,key.keyboard.f8,F8,,,F8,,,,,,语言文件,,
键盘按键名,key.keyboard.f9,F9,,,F9,,,,,,语言文件,,
键盘按键名,key.keyboard.grave.accent,`,,,`,,,,,,语言文件,,
键盘按键名,key.keyboard.home,Home,,,Home,,,,,,语言文件,,
键盘按键名,key.keyboard.insert,Insert,,,Insert,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.0,Keypad 0,,,小键盘 0,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.1,Keypad 1,,,小键盘 1,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.2,Keypad 2,,,小键盘 2,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.3,Keypad 3,,,小键盘 3,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.4,Keypad 4,,,小键盘 4,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.5,Keypad 5,,,小键盘 5,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.6,Keypad 6,,,小键盘 6,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.7,Keypad 7,,,小键盘 7,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.8,Keypad 8,,,小键盘 8,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.9,Keypad 9,,,小键盘 9,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.add,Keypad +,,,小键盘 +,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.decimal,Keypad Decimal,,,小键盘 .,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.divide,Keypad /,,,小键盘 /,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.enter,Keypad Enter,,,小键盘 Enter,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.equal,Keypad =,,,小键盘 =,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.multiply,Keypad *,,,小键盘 *,,,,,,语言文件,,
键盘按键名,key.keyboard.keypad.subtract,Keypad -,,,小键盘 -,,,,,,语言文件,,
键盘按键名,key.keyboard.left,Left Arrow,,,左方向键,,,,,,语言文件,,
键盘按键名,key.keyboard.left.alt,Left Alt,,,左Alt,,,,,,语言文件,,
键盘按键名,key.keyboard.left.bracket,[,,,[,,,,,,语言文件,,
键盘按键名,key.keyboard.left.control,Left Control,,,左Ctrl,,,,,,语言文件,,
键盘按键名,key.keyboard.left.shift,Left Shift,,,左Shift,,,,,,语言文件,,
键盘按键名,key.keyboard.left.win,Left Win,,,左Win,,,,,,语言文件,,
键盘按键名,key.keyboard.menu,Menu,,,菜单,,,,,,语言文件,,
键盘按键名,key.keyboard.minus,-,,,-,,,,,,语言文件,,
键盘按键名,key.keyboard.num.lock,Num Lock,,,Num Lock,,,,,,语言文件,,
键盘按键名,key.keyboard.page.down,Page Down,,,Page Down,,,,,,语言文件,,
键盘按键名,key.keyboard.page.up,Page Up,,,Page Up,,,,,,语言文件,,
键盘按键名,key.keyboard.pause,Pause,,,Pause,,,,,,语言文件,,
键盘按键名,key.keyboard.period,.,,,.,,,,,,语言文件,,
键盘按键名,key.keyboard.print.screen,Print Screen,,,Print Screen,,,,,,语言文件,,
键盘按键名,key.keyboard.right,Right Arrow,,,右方向键,,,,,,语言文件,,
键盘按键名,key.keyboard.right.alt,Right Alt,,,右Alt,,,,,,语言文件,,
键盘按键名,key.keyboard.right.bracket,],,,],,,,,,语言文件,,
键盘按键名,key.keyboard.right.control,Right Control,,,右Ctrl,,,,,,语言文件,,
键盘按键名,key.keyboard.right.shift,Right Shift,,,右Shift,,,,,,语言文件,,
键盘按键名,key.keyboard.right.win,Right Win,,,右Win,,,,,,语言文件,,
键盘按键名,key.keyboard.scroll.lock,Scroll Lock,,,Scroll Lock,,,,,,语言文件,,
键盘按键名,key.keyboard.semicolon,;,,,;,,,,,,语言文件,,
键盘按键名,key.keyboard.slash,/,,,/,,,,,,语言文件,,
键盘按键名,key.keyboard.space,Space,,,空格,,,,,,语言文件,,
键盘按键名,key.keyboard.tab,Tab,,,Tab,,,,,,语言文件,,
键盘按键名,key.keyboard.unknown,Not bound,,,未指定,,,,,,语言文件,,
键盘按键名,key.keyboard.up,Up Arrow,,,上方向键,,,,,,语言文件,,
键盘按键名,key.keyboard.world.1,World 1,,,World 1,,,,,,语言文件,,
键盘按键名,key.keyboard.world.2,World 2,,,World 2,,,,,,语言文件,,
键位功能,key.left,Strafe Left,,,向左移动,,,,,,语言文件,,
键位功能,key.loadToolbarActivator,Load Hotbar Activator,,,加载快捷栏,,,,,,语言文件,,
鼠标按键名,key.mouse,Button %1$s,,,鼠标按键%1$s,,,,,,语言文件,,
鼠标按键名,key.mouse.left,Left Button,,,左键,,,,,,语言文件,,
鼠标按键名,key.mouse.middle,Middle Button,,,中键,,,,,,语言文件,,
鼠标按键名,key.mouse.right,Right Button,,,右键,,,,,,语言文件,,
键位功能,key.pickItem,Pick Block,,,选取方块,,,,,,语言文件,,
键位功能,key.playerlist,List Players,,,玩家列表,,,,,,语言文件,,
键位功能,key.right,Strafe Right,,,向右移动,,,,,,语言文件,,
键位功能,key.saveToolbarActivator,Save Hotbar Activator,,,保存快捷栏,,,,,,语言文件,,
键位功能,key.screenshot,Take Screenshot,,,截图,,,,,,语言文件,,
键位功能,key.smoothCamera,Toggle Cinematic Camera,,,切换电影视角,,,,,,语言文件,,
键位功能,key.sneak,Sneak,Crouch,,潜行,,,,,,语言文件导出,,
键位功能,key.socialInteractions,Social Interactions Screen,,,社交屏幕,,,,,,语言文件,,
键位功能,key.spectatorOutlines,Highlight Players (Spectators),,,高亮玩家（旁观者）,,,,,,语言文件,,
键位功能,key.sprint,Sprint,,,疾跑,,,,,,语言文件,,
键位功能,key.swapOffhand,Swap Item With Offhand,,,与副手交换物品,,,,,,语言文件,,
键位功能,key.togglePerspective,Toggle Perspective,,,切换视角,,,,,,语言文件,,
键位功能,key.use,Use Item,,,使用物品,,,,,,语言文件,,
村民等级,merchant.level.1,Novice,,,新手,,,,,,语言文件,,
村民等级,merchant.level.2,Apprentice,,,学徒,,,,,,语言文件,,
村民等级,merchant.level.3,Journeyman,,,老手,,,,,,语言文件,,
村民等级,merchant.level.4,Expert,,,专家,,,,,,语言文件,,
村民等级,merchant.level.5,Master,,,大师,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.betty,Betty,,,背蒂类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.blockfish,Blockfish,,,方身类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.brinely,Brinely,,,咸水类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.clayfish,Clayfish,,,陶鱼类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.dasher,Dasher,,,速跃类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.flopper,Flopper,,,飞翼类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.glitter,Glitter,,,闪鳞类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.kob,Kob,,,石首类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.snooper,Snooper,,,窥伺类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.spotty,Spotty,,,多斑类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.stripey,Stripey,,,条纹类,,,,,,语言文件,,
热带鱼类型,entity.minecraft.tropical_fish.type.sunstreak,Sunstreak,,,日纹类,,,,,,语言文件,,
声音类型,,Ambient,,,环境,,,,,,语言文件（整理）,,
声音类型,,Environment,,,环境,,,,,,语言文件（整理）,,
声音类型,soundCategory.block,Blocks,,,方块,,,,,,语言文件,,
声音类型,soundCategory.hostile,Hostile Creatures,,,敌对生物,,,,,,语言文件,,
声音类型,soundCategory.master,Master Volume,,,主音量,,,,,,语言文件,,
声音类型,soundCategory.music,Music,,,音乐,,,,,,语言文件,,
声音类型,soundCategory.neutral,Friendly Creatures,,,友好生物,,,,,,语言文件,,
声音类型,soundCategory.player,Players,,,玩家,,,,,,语言文件,,
声音类型,,Voice,,,声音,,,,,,语言文件（整理）,,
声音类型,,Speech,,,语音,,,,,,语言文件（整理）,,
声音类型,soundCategory.weather,Weather,,,天气,,,,,,语言文件,,
统计信息,stat.generalButton,General,,,通用,,,,,,语言文件,,
统计信息,stat.itemsButton,Items,,,物品,,,,,,语言文件,,
统计信息,stat.minecraft.animals_bred,Animals Bred,,,繁殖动物次数,,,,,,语言文件,,
统计信息,stat.minecraft.aviate_one_cm,Distance by Elytra,,,鞘翅滑行距离,,,,,,语言文件,,
统计信息,stat.minecraft.bell_ring,Bells Rung,,,鸣钟次数,,,,,,语言文件,,
统计信息,stat.minecraft.boat_one_cm,Distance by Boat,,,坐船移动距离,,,,,,语言文件,,
统计信息,stat.minecraft.clean_armor,Armor Pieces Cleaned,,,清洗盔甲次数,,,,,,语言文件,,
统计信息,stat.minecraft.clean_banner,Banners Cleaned,,,清洗旗帜次数,,,,,,语言文件,,
统计信息,stat.minecraft.clean_shulker_box,Shulker Boxes Cleaned,,,潜影盒清洗次数,,,,,,语言文件,,
统计信息,stat.minecraft.climb_one_cm,Distance Climbed,,,已攀爬距离,,,,,,语言文件,,
统计信息,stat.minecraft.crouch_one_cm,Distance Crouched,,,潜行距离,,,,,,语言文件,,
统计信息,stat.minecraft.damage_absorbed,Damage Absorbed,,,吸收的伤害,,,,,,语言文件,,
统计信息,stat.minecraft.damage_blocked_by_shield,Damage Blocked by Shield,,,盾牌抵挡的伤害,,,,,,语言文件,,
统计信息,stat.minecraft.damage_dealt,Damage Dealt,,,造成伤害,,,,,,语言文件,,
统计信息,stat.minecraft.damage_dealt_absorbed,Damage Dealt (Absorbed),,,造成伤害（被吸收）,,,,,,语言文件,,
统计信息,stat.minecraft.damage_dealt_resisted,Damage Dealt (Resisted),,,造成伤害（被抵挡）,,,,,,语言文件,,
统计信息,stat.minecraft.damage_resisted,Damage Resisted,,,抵挡的伤害,,,,,,语言文件,,
统计信息,stat.minecraft.damage_taken,Damage Taken,,,受到伤害,,,,,,语言文件,,
统计信息,stat.minecraft.deaths,Number of Deaths,,,死亡次数,,,,,,语言文件,,
统计信息,stat.minecraft.drop,Items Dropped,,,物品掉落,,,,,,语言文件,,
统计信息,stat.minecraft.eat_cake_slice,Cake Slices Eaten,,,吃掉的蛋糕片数,,,,,,语言文件,,
统计信息,stat.minecraft.enchant_item,Items Enchanted,,,物品附魔次数,,,,,,语言文件,,
统计信息,stat.minecraft.fall_one_cm,Distance Fallen,,,摔落高度,,,,,,语言文件,,
统计信息,stat.minecraft.fill_cauldron,Cauldrons Filled,,,炼药锅装水次数,,,,,,语言文件,,
统计信息,stat.minecraft.fish_caught,Fish Caught,,,捕鱼数,,,,,,语言文件,,
统计信息,stat.minecraft.fly_one_cm,Distance Flown,,,飞行距离,,,,,,语言文件,,
统计信息,stat.minecraft.horse_one_cm,Distance by Horse,,,骑马移动距离,,,,,,语言文件,,
统计信息,stat.minecraft.inspect_dispenser,Dispensers Searched,,,搜查发射器次数,,,,,,语言文件,,
统计信息,stat.minecraft.inspect_dropper,Droppers Searched,,,搜查投掷器次数,,,,,,语言文件,,
统计信息,stat.minecraft.inspect_hopper,Hoppers Searched,,,搜查漏斗次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_anvil,Interactions with Anvil,,,与铁砧互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_beacon,Interactions with Beacon,,,与信标互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_blast_furnace,Interactions with Blast Furnace,,,与高炉互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_brewingstand,Interactions with Brewing Stand,,,与酿造台互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_campfire,Interactions with Campfire,,,与营火互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_cartography_table,Interactions with Cartography Table,,,与制图台互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_crafting_table,Interactions with Crafting Table,,,与工作台互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_furnace,Interactions with Furnace,,,与熔炉互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_grindstone,Interactions with Grindstone,,,与砂轮互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_lectern,Interactions with Lectern,,,与讲台互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_loom,Interactions with Loom,,,与织布机互动次数,,,,,,语言文件,,
统计信息,stat.minecraft.interact_with_smithing_table,Interactions with Smithing Table,,,与锻造台互动次数,,,,,,语言文件,,
